sampling_date,site_id,entero,fecal_colif,e_coli
05/09/03,CON,500,1600,833
05/09/03,PWR,1233,2833,400
05/09/03,DRI,150000,29333,1100
05/09/03,ROA,1333,3100,1467
05/09/03,URB,,,
05/09/03,REF7,,,
05/09/03,REF,1433,1533,633
08/14/03,CON,1700,14333,767
08/14/03,PWR,1500,15667,800
08/14/03,DRI,19667,18333,1800
08/14/03,ROA,1867,20333,1133
08/14/03,URB,,,
08/14/03,REF7,,,
08/14/03,REF,2433,14333,600
09/16/03,CON,16333,31667,4333
09/16/03,PWR,30667,32333,10000
09/16/03,DRI,21667,40000,11000
09/16/03,ROA,2200,32333,2667
09/16/03,URB,,,
09/16/03,REF7,,,
09/16/03,REF,2867,12333,3000
10/16/03,CON,22000,32667,2667
10/16/03,PWR,18667,42667,9333
10/16/03,DRI,33333,49333,11333
10/16/03,ROA,39667,500000,13667
10/16/03,URB,,,
10/16/03,REF7,,,
10/16/03,REF,4600,21333,2667
11/18/03,CON,380,1967,267
11/18/03,PWR,3533,4233,2433
11/18/03,DRI,677,2000,333
11/18/03,ROA,190,900,0
11/18/03,URB,,,
11/18/03,REF7,,,
11/18/03,REF,373,2967,167
06/16/04,CON,3150,28500,9000
06/16/04,PWR,5850,2150,1650
06/16/04,DRI,5950,4200,1350
06/16/04,ROA,680,500000,150000
06/16/04,URB,,,
06/16/04,REF7,,,
06/16/04,REF,2550,2000,550
07/20/04,CON,520,1150,2000
07/20/04,PWR,3450,6000,2000
07/20/04,DRI,1400,8500,0
07/20/04,ROA,1300,6000,2500
07/20/04,URB,,,
07/20/04,REF7,,,
07/20/04,REF,1700,13000,1000
09/16/04,CON,160,23000,3000
09/16/04,PWR,2100,6000,3500
09/16/04,DRI,4500,12500,15000
09/16/04,ROA,1500,9500,2000
09/16/04,URB,,,
09/16/04,REF7,,,
09/16/04,REF,220,5000,3000
10/27/04,CON,500,600,450
10/27/04,PWR,6500,1600,1500
10/27/04,DRI,850,1500,1000
10/27/04,ROA,225,250,100
10/27/04,URB,,,
10/27/04,REF7,,,
10/27/04,REF,185,750,1500
06/21/05,CON,190,900,185
06/21/05,PWR,1550,6100,1050
06/21/05,DRI,880,4250,1850
06/21/05,ROA,295,1265,295
06/21/05,URB,315,9050,3450
06/21/05,REF7,2450,3200,200
06/21/05,REF,345,3200,1150
07/26/05,CON,530,2400,500
07/26/05,PWR,4450,4150,1000
07/26/05,DRI,2450,15000,1600
07/26/05,ROA,885,3050,150
07/26/05,URB,915,4850,1050
07/26/05,REF7,870,4350,600
07/26/05,REF,,,
09/22/05,CON,600,2050,1050
09/22/05,PWR,3700,12500,4500
09/22/05,DRI,810,10500,2000
09/22/05,ROA,435,3050,1000
09/22/05,URB,365,2350,1150
09/22/05,REF7,705,4600,1450
09/22/05,REF,700,16000,1500
10/31/05,CON,865,2400,350
10/31/05,PWR,3650,1400,1400
10/31/05,DRI,310,275,80
10/31/05,ROA,170,215,35
10/31/05,URB,965,1950,750
10/31/05,REF7,2900,1750,800
10/31/05,REF,,,
02/09/06,CON,55,,250
02/09/06,PWR,1150,2650,2100
02/09/06,DRI,185,700,350
02/09/06,ROA,60,2450,850
02/09/06,URB,230,9500,1200
02/09/06,REF7,10,345,5
02/09/06,REF,0,235,10
05/09/06,CON,50,765,150
05/09/06,PWR,775,660,135
05/09/06,DRI,450,730,250
05/09/06,ROA,225,285,175
05/09/06,URB,95,250,45
05/09/06,REF7,70,160,80
05/09/06,REF,100,105,40
06/07/06,CON,285,325,
06/07/06,PWR,44500,1900,160
06/07/06,DRI,32750,3600,
06/07/06,ROA,115,600,270
06/07/06,URB,1250,290,
06/07/06,REF7,7900,1900,
06/07/06,REF,,,
07/10/06,CON,1000,395,250
07/10/06,PWR,2850,5050,2100
07/10/06,DRI,3200,1650,450
07/10/06,ROA,90,1550,1300
07/10/06,URB,15,100,20
07/10/06,REF7,325,400,280
07/10/06,REF,,,
08/10/06,CON,520,1250,300
08/10/06,PWR,4550,3450,1300
08/10/06,DRI,2100,3650,2000
08/10/06,ROA,1100,1100,250
08/10/06,URB,60,150,15
08/10/06,REF7,3800,3400,1200
08/10/06,REF,,,
09/10/06,CON,475,,
09/10/06,PWR,1800,,
09/10/06,DRI,700,,
09/10/06,ROA,180,,
09/10/06,URB,285,,
09/10/06,REF7,125,,
09/10/06,REF,,,
10/17/06,CON,475,750,200
10/17/06,PWR,1800,4000,2500
10/17/06,DRI,700,2500,400
10/17/06,ROA,180,600,45
10/17/06,URB,285,2800,1400
10/17/06,REF7,125,22000,250
10/17/06,REF,,,
11/14/06,CON,200,450,200
11/14/06,PWR,1850,2100,800
11/14/06,DRI,285,1200,165
11/14/06,ROA,12,100,25
11/14/06,URB,14,245,95
11/14/06,REF7,340,950,130
11/14/06,REF,,,
12/11/06,CON,180,1100,141
12/11/06,PWR,620,900,550
12/11/06,DRI,215,550,200
12/11/06,ROA,185,700,350
12/11/06,URB,85500,275000,165000
12/11/06,REF7,270,800,42
12/11/06,REF,,,
01/11/07,CON,5,70,1570
01/11/07,PWR,130,250,90
01/11/07,DRI,85,350,0
01/11/07,ROA,100,445,175
01/11/07,URB,180,375,205
01/11/07,REF7,615,165,45
01/11/07,REF,,,
02/20/07,CON,,,
02/20/07,PWR,12000,485,4500
02/20/07,DRI,3100,10500,1500
02/20/07,ROA,1750,19500,5500
02/20/07,URB,6800,47000,10500
02/20/07,REF7,195,770,200
02/20/07,REF,,,1217
03/08/07,CON,50,3950,200
03/08/07,PWR,40,150,90
03/08/07,DRI,85,2250,1050
03/08/07,ROA,5,415,90
03/08/07,URB,10,3250,0
03/08/07,REF7,40,30,15
03/08/07,REF,,,
04/10/07,CON,75,5550,200
04/10/07,PWR,7650,1450,250
04/10/07,DRI,390,3050,2300
04/10/07,ROA,15,1700,250
04/10/07,URB,45,535,230
04/10/07,REF7,75,400,115
04/10/07,REF,,,
06/13/07,CON,650,1200,500
06/13/07,PWR,800,12250,1100
06/13/07,DRI,1850,2500,1000
06/13/07,ROA,220,550,200
06/13/07,URB,1150,9000,3000
06/13/07,REF7,20000,10500,9550
06/13/07,REF,,,
07/12/05,CON,647.5,253450,650
07/12/05,PWR,5400,500000,150000
07/12/05,DRI,435,1950,725
07/12/05,ROA,,,
07/12/05,URB,190,1050,325
07/12/05,REF7,985,5075,425
07/12/05,REF,,,
07/13/05,CON,150000,379200,150000
07/13/05,PWR,150000,255600,77662.5
07/13/05,DRI,115250,375500,150000
07/13/05,ROA,,,
07/13/05,URB,112606.25,255262.5,77150
07/13/05,REF7,112576.25,376700,112612.5
07/13/05,REF,,,
08/30/05,CON,46213.75,99000,30025
08/30/05,PWR,37637.5,170462.5,16537.5
08/30/05,DRI,105500,225000,80000
08/30/05,ROA,19462.5,185000,42500
08/30/05,URB,14833.33333,130000,8333.333333
08/30/05,REF7,36333.33333,191666.6667,15000
08/30/05,REF,,330,250
08/31/05,CON,24000,120000,5000
08/31/05,PWR,45000,32000,12000
08/31/05,DRI,65000,132500,60000
08/31/05,ROA,81250,277500,22500
08/31/05,URB,16750,107500,10000
08/31/05,REF7,19000,272500,8750
08/31/05,REF,,,
04/18/06,CON,235,900,600
04/18/06,PWR,770,2900,1500
04/18/06,DRI,535,1600,1600
04/18/06,ROA,435,2150,1400
04/18/06,URB,375,985,750
04/18/06,REF7,135,380,250
04/18/06,REF,330,,
