"","site","date","temperature (degrees C)","Spec_Cond (mS)","DO_sat (% sat)","DO (mg/L)","pH (pH)","ORP (mV)","Turbidity (NTU)","Chlor (ug/L)","SSC (mg/L)","Alkalinity (mg CaCO3/L)","DOC_R5 (mg/L)","DOC_Awberc (mg/L)","TOC_R5 (mg/L)","TOC_Awberc (mg/L)","Fluoride (mg/L)","Chloride (mg/L)","Bromide (mg/L)","Nitrate (mg/L)","Orthophosphate (mg/L)","Sulfate (mg/L)","Ammoniacal_nitrogen (mg/L)","DIN (mg/L)","TKN (mg/L)","TDP (mg/L)","TP (mg/L)","Aluminum_dissolved","Calcium (mg/L)","Copper_dissolved (ug/L)","Iron_dissolved (mg/L)","Magnesium (mg/L)","Manganese_dissolved (mg/L)","Potassium (mg/L)","Sodium (mg/L)","Zinc_dissolved (ug/L)","Aluminum_total (mg/L)","Copper_total (mg/L)","Iron_total (mg/L)","Manganese_total (mg/L)","Zinc_total (ug/L)","Flow_condition"
"1","CON",2005-04-19 08:40:00,"14.2","1.107",85.5,8.74,8.04,356,13.9,NA,"31","260",2.61,NA,"4.2",NA,NA,144,"0.1","0.95","0.38",112,"nd","0.21","0.34","0.12","0.16","nd","129","nd","0.0541",22.6,"0.00615","4.13",73.2,"nd","0.887","nd","0.847","0.039","nd","Base"
"2","CON",2005-05-26 09:24:00,"13.3","1.074",79.5,8.3,7.99,306,19.6,NA,"29.3","270",17,NA,"20",NA,NA,124,"0.1","2.24","0.56",100,"nd","0.54","0.55","0.17","0.22","nd","127","nd","nd",22.2,"0.00252","3.9",66.6,"nd","1.33","nd","1.21","0.0582","nd","Base"
"3","CON",2005-06-21 07:57:00,"16.99","0.956",76.2,7.35,7.05,342,13.5,NA,"39.8","240",3.5,NA,"3.7",NA,NA,120,"0.11","1.42","0.69",80.4,"nd","0.19","0.37","0.2","0.27","nd","111","nd","nd",18.4,"0.00447","4.25",61.4,"nd","1.04","nd","0.914","0.0422","nd","Base"
"4","CON",2005-07-26 08:14:00,"24.6","0.869",56.3,4.68,7.05,221,8,NA,"14.1","220",10,NA,"15",NA,NA,105,"0.12","0.9","0.7",58,"nd","0.17","0.57","0.19","0.2","nd","90","nd","nd",15.4,"0.0339","4.81",59.3,"nd","0.414","nd","0.473","0.0418","nd","Base"
"5","CON",2005-08-16 08:02:00,"21.92","0.974",59.8,5.22,7.42,212,19.4,NA,"6.4","230",18,NA,"18",NA,NA,118,"0.12","0.45","0.62",62.4,"nd","0.12","0.4","0.17","0.19","nd","94.6","nd","nd",16.5,"0.19","4.67",67.8,"nd","0.226","nd","0.236","0.0923","nd","Base"
"6","CON",2005-09-22 09:32:00,"18.93","0.887",78.8,7.31,7.71,245,13.3,NA,"14.8","200",10,NA,"14",NA,NA,120,"0.07","0.46","0.74",56.3,"nd","0.15","0.34","0.23","0.24","nd","80.4","2.78","nd",13.4,"0.0189","4.45",68.1,"12.6","0.697","3.88","0.625","0.0387","15.7","Base"
"7","CON",2005-10-31 08:29:00,"7.72","0.941",79.9,9.5,7.39,256,5.5,NA,"1.67","220",12,NA,"23",NA,NA,112,"0.07","0.91","0.73",65.5,"nd","0.2","0.14","0.17","0.29","0.0159","95.4","nd","nd",16.1,"0.0128","4.57",74.7,"9.33","0.208","nd","0.133","0.0153","13.9","Base"
"8","CON",2006-02-09 11:37:00,"0.78","1.07",111.3,15.87,8.08,267,3.3,NA,"1.67","250",4.5,NA,"12",NA,NA,120,"0.06","3.09","0.32",86.4,"nd","0.7","0.19","0.09","0.13","nd","123","1.55","nd",20.5,"0.00262","2.45",70.4,"8.41","0.073","2.02","0.0859","0.00575","8.27","Base"
"9","CON",2006-03-20 10:54:00,"4.57","0.918",101.3,13.3,8.05,259,7.2,NA,"7.9","250",3.7,NA,"4.5",NA,NA,87.8,"0.06","2.45","0.42",89,"0.44","0.58","0.32","0.08","0.1","nd","112","2.56","nd",18.6,"0.00314","2.66",49.1,"14.6","0.19","3.12","0.294","0.0165","22.2","Base"
"10","CON",2006-05-09 10:15:00,"14.04","0.972",72,7.4,7.87,278,18.7,NA,"22.1","250",10,NA,"17.2",NA,NA,111,"0.1","1.75","0.48",97.7,"nd","0.41","0.38","0.18","0.25","nd","112","2.86","nd",21.5,"0.00909","3.08",57,"14","0.549","3.34","0.628","0.0422","19.4","Base"
