site_id,sampling_date,time,flow_cond,temp,sp_cond,do_sat,do,ph,orp,turb,chlor,ssc,alk,doc_r5,doc_awberc,toc_r5,toc_awberc,f,cl,br,no3,o_po4,so4,nh3_n,din,tkn,tdp,tp,al_diss,ca,cu_diss,fe_diss,mg,mn_diss,k,na,zn_diss,al_tr,cu_tr,fe_tr,mn_tr,zn_tr
CON,4/19/05,8:40,base,14.2,1.11,85.5,8.74,8.04,356,13.9,,31,260,2.61,,4.2,,,144,0.1,0.95,0.38,112,nd,0.21,0.34,0.12,0.16,nd,129,nd,0.05,22.6,0.01,4.13,73.2,nd,0.89,nd,0.85,0.04,nd
CON,5/26/05,9:24,base,13.3,1.07,79.5,8.3,7.99,306,19.6,,29.3,270,17,,20,,,124,0.1,2.24,0.56,100,nd,0.54,0.55,0.17,0.22,nd,127,nd,nd,22.2,0,3.9,66.6,nd,1.33,nd,1.21,0.06,nd
CON,6/21/05,7:57,base,16.99,0.96,76.2,7.35,7.05,342,13.5,,39.8,240,3.5,,3.7,,,120,0.11,1.42,0.69,80.4,nd,0.19,0.37,0.2,0.27,nd,111,nd,nd,18.4,0,4.25,61.4,nd,1.04,nd,0.91,0.04,nd
CON,7/26/05,8:14,base,24.6,0.87,56.3,4.68,7.05,221,8,,14.1,220,10,,15,,,105,0.12,0.9,0.7,58,nd,0.17,0.57,0.19,0.2,nd,90,nd,nd,15.4,0.03,4.81,59.3,nd,0.41,nd,0.47,0.04,nd
CON,8/16/05,8:02,base,21.92,0.97,59.8,5.22,7.42,212,19.4,,6.4,230,18,,18,,,118,0.12,0.45,0.62,62.4,nd,0.12,0.4,0.17,0.19,nd,94.6,nd,nd,16.5,0.19,4.67,67.8,nd,0.23,nd,0.24,0.09,nd
CON,9/22/05,9:32,base,18.93,0.89,78.8,7.31,7.71,245,13.3,,14.8,200,10,,14,,,120,0.07,0.46,0.74,56.3,nd,0.15,0.34,0.23,0.24,nd,80.4,2.78,nd,13.4,0.02,4.45,68.1,12.6,0.7,3.88,0.63,0.04,15.7
CON,10/31/05,8:29,base,7.72,0.94,79.9,9.5,7.39,256,5.5,,1.67,220,12,,23,,,112,0.07,0.91,0.73,65.5,nd,0.2,0.14,0.17,0.29,0.02,95.4,nd,nd,16.1,0.01,4.57,74.7,9.33,0.21,nd,0.13,0.02,13.9
CON,2/9/06,11:37,base,0.78,1.07,111.3,15.87,8.08,267,3.3,,1.67,250,4.5,,12,,,120,0.06,3.09,0.32,86.4,nd,0.7,0.19,0.09,0.13,nd,123,1.55,nd,20.5,0,2.45,70.4,8.41,0.07,2.02,0.09,0.01,8.27
CON,3/20/06,10:54,base,4.57,0.92,101.3,13.3,8.05,259,7.2,,7.9,250,3.7,,4.5,,,87.8,0.06,2.45,0.42,89,0.44,0.58,0.32,0.08,0.1,nd,112,2.56,nd,18.6,0,2.66,49.1,14.6,0.19,3.12,0.29,0.02,22.2
CON,5/9/06,10:15,base,14.04,0.97,72,7.4,7.87,278,18.7,,22.1,250,10,,17.2,,,111,0.1,1.75,0.48,97.7,nd,0.41,0.38,0.18,0.25,nd,112,2.86,nd,21.5,0.01,3.08,57,14,0.55,3.34,0.63,0.04,19.4
CON,6/6/06,8:53,base,15.88,0.9,72,7.11,7.54,120,14,,16.2,240,4.1,,6.9,,,98.4,0.08,1.77,0.68,69,nd,0.44,0.29,0.2,0.27,nd,96.3,1.93,nd,16.6,0.01,3.36,51.2,15.4,0.82,2.46,0.63,0.07,15.5
CON,7/10/06,9:17,base,19.1,0.91,61,5.63,7.36,196,11.5,,6.6,250,9.9,,13.8,,,93.6,0.19,1.34,0.67,48.6,nd,0.22,0.32,0.18,0.19,nd,100,2.2,nd,17.5,0.04,3.9,64.9,14.5,0.76,2.85,0.62,0.1,43.6
CON,8/8/06,8:41,base,22.67,0.43,46.6,4.02,7.69,190,2.4,,8.4,220,3.2,,4.4,,,86.1,0.1,0.34,0.68,40.6,nd,0.65,0.41,0.25,0.31,nd,83.6,1.7,0.03,14.6,0.06,4.42,54.3,14.2,0.4,nd,0.36,0.07,14.3
CON,9/5/06,9:40,base,17.46,0.76,59.8,5.71,7.59,188,10.1,,11.3,190,10.3,,14.5,,,99.3,0.15,0.99,0.62,65.2,0.08,0.23,0.29,0.21,0.22,nd,80.3,nd,nd,13.8,0.01,4.42,51.7,27.8,0.59,nd,0.45,0.03,28.7
CON,10/16/06,8:50,base,9.9,0.85,64.6,7.3,7.2,466,6.6,,nd,220,8.7,,10.6,,,95.5,0.06,0.83,0.57,63,nd,0.16,0.21,0.22,0.24,nd,89.8,nd,0.02,16.1,0.01,4.29,51.8,44.6,0.23,nd,0.16,0.02,44.2
CON,11/13/06,9:00,base,6.93,0.87,92,11.25,7.97,354.7,4.7,,2.76,250,14.4,,16,,,76.6,0.06,0.81,0.71,73.5,nd,1.07,0.23,0.21,0.23,nd,109,1.62,0.03,18.6,0,4.1,44.8,54.1,0.24,1.7,0.22,0.01,56.5
CON,12/5/06,9:15,base,0.38,0.86,104,15,8.02,340,16.5,,2.21,270,14.3,,16.2,,,72.5,0.05,3.02,0.48,87.1,nd,0.72,0.36,0.17,0.2,nd,111,nd,0.03,18.4,0,3.19,35.9,63.7,0.13,nd,0.18,0.01,64.1
CON,1/10/07,11:20,base,1.96,0.77,100.7,13.9,8.2,317.2,12,,12.1,250,17.1,,21.8,,,57,0.05,3.71,0.51,69.6,nd,0.81,0.36,0.12,0.17,nd,106,nd,0.02,16.2,0,2.65,29.4,57.6,0.46,nd,0.4,0.02,58.8
CON,3/8/07,9:30,base,0.24,1.36,101,14.6,7.95,313,0,,6.65,250,16.8,,16.7,,,230,0.08,4.33,0.44,94.6,nd,1.01,0.24,0.14,0.16,nd,124,1.98,0.02,19.3,0,3.2,111,30.5,0.25,0,0.21,0.01,30.8
CON,4/10/07,9:56,base,3.57,1.12,106,14.02,7.96,184,1.1,,1.56,280,17.5,,21.5,,,152,0.08,0.82,0.24,105,nd,0.18,0.28,0.14,0.1,nd,126,nd,nd,21.7,0,2.33,68,42.3,0.1,nd,0.06,0.01,44.4
CON,5/9/07,8:58,base,15.35,1.15,79.3,7.91,8.7,197.2,16.5,,17.62,280,18.8,,23.8,,,136,0.09,2.07,0.49,105,nd,0.48,0.29,0.13,0.19,nd,135,2.35,nd,24.2,0.01,3.24,70.9,42.1,0.84,nd,0.61,0.03,39.9
CON,6/13/07,9:23,base,17.2,1.04,48,4.6,7.39,219.6,6.5,,7.78,240,15.4,,17.9,,,161,0.11,0.49,0.59,60.6,nd,0.1,0.18,0.2,0.22,nd,98.2,nd,nd,17.8,0.06,3.87,74.6,16.7,0.34,2.52,0.31,0.06,16.9
CON,7/18/07,,base,,,,,,,,,5.86,200,15,,11.4,,,138,0.08,0.84,0.63,40.9,0.06,0.18,0.43,0.22,0.23,nd,79.3,2.13,nd,13.9,0.01,4.18,74.5,11.3,0.4,2.62,0.35,0.03,11.7
CON,8/1/07,11:58,base,20.65,0.94,45,4.03,7.59,326.2,5.3,,3.15,210,15.1,,7.7,,,137,0.12,0.24,0.59,46,nd,0.03,0.55,0.21,0.22,nd,85.2,2.42,nd,14.8,0.08,4.21,74.9,14.7,0.24,2.29,0.23,0.1,14.7
CON,9/4/07,9:20,base,18.4,1.09,33,3.11,7.15,93,6.3,,5.04,260,15.6,,15.8,,,139,0.21,0.13,0.62,67.3,0.06,u,0.36,0.23,0.28,u,102,u,0.02,18.5,0.76,5.11,83,32.6,0.22,nd,0.34,0.78,57.5
CON,11/5/07,11:53,base,9.29,1.14,68,7.75,7.48,-203.7,2.8,,1.56,210,10.5,,9,,,147,0.08,2.44,0.63,128,nd,0.63,nd,0.11,0.15,nd,112,4.7,nd,18.4,0.01,5.12,79.5,43.3,0.17,5.11,0.15,0.01,43.9
CON,2/11/08,10:54,base,-0.24,0.96,94.3,13.84,8.72,171.1,4.4,,4.68,220,4.2,,3.8,,,159,0.06,8.09,0.44,79.2,nd,1.95,0.18,0.14,0.16,nd,112,3.1,0.02,17.1,0,2.71,83.8,25.3,0.24,4.29,0.19,0.01,28
CON,3/25/08,9:36,base,2.9,0.79,105,14.15,7.6,-176,5.6,,6.29,200,3,,3.6,,,94,0.03,3.44,0.32,59.2,nd,0.82,0.25,0.14,0.19,nd,86.4,2.4,nd,13.5,0,2.12,52.7,12.8,0.26,2.37,0.28,0.01,17.3
CON,4/16/08,8:52,base,6.68,0.95,103,12.56,7.78,-129,1.2,,-0.39,240,3.4,,2.8,,,110,0.05,0.36,0.2,81.6,nd,0.11,0.16,0.09,0.09,0.06,108,2,nd,18.4,0,2.28,57.2,7.7,0.11,1.62,0.06,0,5.49
CON,6/9/08,10:37,base,21.53,0.79,78.8,6.91,7.89,-69.2,19.6,,37.86,240,3.6,,3.7,,,82,0.06,2.61,0.54,73.5,nd,0.59,0.41,0.28,0.31,0.05,106,0.07,0.02,17,0,5.01,55.7,6.9,0.67,1.57,0.95,0.04,23
CON,7/30/08,9:35,base,20.47,0.8,,6.63,7.26,180.6,9.4,6.9,6.66,210,,,,,,90.9,0.07,0.78,0.62,43.8,nd,0.15,0.28,0.22,0.26,nd,74.3,3,0.01,12.1,0.01,4.11,57.8,10.5,0.54,3.13,0.61,0.04,8.78
CON,8/12/08,14:58,base,19.18,0.74,73.6,6.75,7.77,321.9,9.3,,8.16,180,3.4,,3.7,,,89.4,0.06,0.8,0.63,44.3,nd,0.16,0.22,0.21,0.25,nd,72.9,2.8,0.02,12,0.02,3.89,56.9,nd,0.45,3.37,0.43,0.03,nd
CON,9/17/08,12:31,base,17.84,0.82,73.6,6.97,7.71,-11.2,13.3,,60.94,200,3.3,,3.8,,,,,,,,nd,0.22,0.35,0.26,0.32,nd,77.7,2.5,0.02,13.4,0.04,4.34,69.8,24,0.55,3,0.75,0.07,14.9
CON,10/15/08,10:28,base,15.9,0.95,46.1,4.49,6.48,374.4,8.4,,20.11,190,3.6,,3.7,,,138,0.09,0.25,0.72,69.9,nd,0.05,0.14,0.29,0.29,nd,81.7,2.5,0.04,14.5,0.11,4.94,81.5,6.8,0.29,2.9,0.36,0.15,10.8
CON,12/9/08,11:00,base,1.31,1.2,93.1,13.07,7.7,281,2.3,,3.3,160,4,3.3,4.3,3.64,,218,0.09,4.99,0.51,81,0.48,1.2,0.54,0.2,0.21,nd,90.3,3.4,0.01,17.9,0,4.77,105,11.5,0.09,15.7,0.09,0.01,12.3
